#{"t_start": 1783884472.7118273, "env_id": "LunarLander-v3"}
r,l,t
-113.287912,119,9.244366
-88.645874,68,9.301353
-137.700908,115,9.401658
-171.860928,108,9.482291
-65.225083,75,9.537959
-119.705714,93,9.606615
-117.025234,112,9.69058
-83.872244,87,9.758402
-110.858281,98,9.8348
-39.186559,75,9.913126
-174.551525,103,9.995094
-137.20307,63,10.040152
-135.873553,117,10.124636
-363.441584,105,10.203077
-237.261182,119,10.290145
-122.132309,82,10.356949
-125.935361,106,10.444159
-145.572699,80,10.50841
-392.400896,89,10.58001
-211.161338,113,10.672969
-118.143037,62,10.718925
-255.260742,102,12.954949
-117.915111,65,13.006873
-246.490538,134,13.125181
-80.158786,75,13.181811
-413.364059,149,13.343856
-144.038387,106,13.449637
-105.890386,68,13.524944
-86.954303,101,13.611584
-90.826015,62,13.659359
-298.979654,95,13.735304
-177.840923,151,13.854826
-262.969334,82,13.919564
-459.597779,122,14.013319
-91.026738,77,14.071849
-120.178379,97,14.151832
-208.582038,80,14.247037
-63.568183,65,14.297005
-485.558702,79,14.364303
-139.087591,109,14.473922
-155.96749,77,14.549574
-234.254611,67,14.609307
-129.473483,91,14.710306
-209.007613,102,16.499566
-140.407552,104,16.585051
-284.166658,91,16.656511
-225.338454,159,16.785365
-151.410238,77,16.850965
-44.815898,77,16.941843
-361.726607,94,17.01531
-42.747396,70,17.074297
-168.934282,110,17.161246
-326.888136,95,17.245474
-112.866012,98,17.373338
-92.707726,99,17.471142
-349.285206,136,17.575393
-113.66326,89,17.640996
-254.141371,104,17.724935
-117.693946,104,17.816378
-125.886964,96,17.894705
-77.240266,73,17.959593
-526.207709,122,18.057323
-335.62969,121,18.150897
-73.915744,71,18.20616
-67.428564,72,19.834299
-210.108799,101,19.919191
-97.777639,78,19.977091
-113.283841,88,20.043586
-55.328436,70,20.092872
-92.329872,74,20.147017
-217.881613,131,20.250663
-189.993539,116,20.365443
-121.939838,125,20.459043
-177.503192,74,20.52063
-121.047239,74,20.574942
-126.888708,111,20.657588
-102.827582,99,20.730397
-122.516161,125,20.830901
-126.271133,91,20.902924
-120.620065,77,20.963108
-109.707938,67,21.021607
-204.832069,83,21.097973
-48.748806,132,21.198033
-80.209609,119,21.313062
-105.534983,95,21.391538
-74.928838,108,23.066755
-144.526508,112,23.154092
-124.80467,118,23.248337
-114.561648,75,23.314345
-185.806376,143,23.424733
-147.868892,96,23.524483
-242.311282,79,23.594061
30.958065,87,23.69776
-90.451744,81,23.770438
-166.633563,99,23.844941
-90.798112,114,23.934658
-100.491548,60,23.999817
-178.193918,130,24.102461
-219.573076,130,24.220701
-113.194889,142,24.329855
-101.310136,73,24.392875
-182.035112,120,24.489114
-86.102177,114,24.58243
-34.409701,86,24.654991
-31.425508,90,24.748041
-20.412133,107,26.498398
-166.799788,139,26.618701
-96.847292,109,26.705778
-189.85376,112,26.824402
-61.95391,86,26.891111
-114.73592,99,26.96601
-210.156881,137,27.074216
-98.875892,102,27.170811
-167.093219,144,27.342231
-224.481799,130,27.450665
-53.920366,77,27.519084
-87.904735,76,27.588805
-57.396056,75,27.651202
-44.568145,106,27.739684
-73.040042,64,27.797815
-116.296724,87,27.867827
-100.513763,108,27.970466
-69.40224,106,28.073634
-341.482431,108,28.156916
-70.916424,121,28.25168
-36.13623,122,30.227545
-49.290552,129,30.338992
-108.175939,181,30.481816
-76.919581,107,30.567318
-80.394742,69,30.638261
-86.747296,88,30.703041
-88.223616,87,30.779855
-100.56063,119,30.872528
-91.844943,77,30.933944
-162.996336,115,31.045528
-190.238375,93,31.115363
-58.112679,138,31.223193
-60.162242,86,31.291052
-98.634078,73,31.346354
-50.832289,67,31.398919
-120.827674,109,31.496475
-210.362794,121,31.61736
-222.27446,154,31.735457
-55.903321,117,33.891387
-188.776833,121,33.998986
-69.200469,162,34.158414
-138.796033,120,34.267032
-102.403605,129,34.372548
-283.979515,135,34.489489
-177.854672,133,34.591695
-118.915384,167,34.724643
-93.461794,109,34.812653
-129.633895,150,34.952421
-53.424675,131,35.10348
-86.76808,112,35.188828
-23.001997,121,35.283802
-104.833629,72,35.338894
-103.301376,159,35.456569
-222.37525,131,35.554767
-296.412627,119,37.500067
-63.021106,136,37.609893
-138.314204,85,37.676804
-117.58901,137,37.79054
-302.079671,144,37.922961
-81.074112,98,38.009175
-165.367049,144,38.1306
-76.450746,72,38.192818
-206.902135,184,38.349713
-44.693301,190,38.509943
-96.842826,82,38.577078
-63.247664,121,38.67031
-106.298358,135,38.770509
-22.799607,95,38.856857
-177.740599,133,38.977668
-60.653076,93,39.133087
-55.997372,84,39.205613
-73.937875,155,41.41055
-141.980058,113,41.50508
-103.627849,98,41.586709
-209.116035,187,41.736904
-135.858908,101,41.823752
-56.362565,121,41.947148
-11.112578,126,42.042751
-114.301684,161,42.165084
-36.778468,96,42.23858
-84.239815,155,42.372758
-93.695518,160,42.502968
-228.981462,165,42.642125
-17.852056,97,43.89814
-4.682927,121,44.032522
33.752484,178,44.175531
-112.560714,120,46.215018
-296.813699,123,46.329672
-19.327469,91,46.412143
-120.209168,161,46.541793
-64.137274,108,46.629372
-101.352924,97,46.717969
-37.879854,120,46.813617
-68.265458,143,46.923584
-20.762447,119,47.018401
-66.253528,118,47.134765
-35.868103,153,47.255126
-61.586577,113,47.361901
-34.638992,124,47.487604
-71.254221,106,47.576118
-21.535504,107,47.663518
-80.519286,181,47.803489
-85.023092,167,47.936495
-317.254063,203,49.723477
-99.528277,247,49.929058
-132.9801,107,50.017794
-51.413986,190,50.197706
-127.901206,113,50.289173
-100.589042,158,50.424247
62.01307,124,50.516647
-99.033315,124,50.61129
-47.072171,134,50.717217
-268.984779,233,50.903699
18.212603,130,51.005111
-154.736695,148,51.117664
-243.57802,151,52.986385
-115.236435,105,53.077039
1.996522,129,53.195003
-76.779544,149,53.32464
-90.044712,170,53.459533
-56.732333,84,53.525898
-56.504498,144,53.660089
-63.386389,112,53.765125
-315.399736,197,53.922542
-12.525716,157,54.060123
-31.917237,280,54.283551
-404.426356,195,54.472811
-52.622553,137,54.592335
0.602978,97,54.664698
-63.085672,143,56.716817
-82.072441,133,56.842829
-12.430192,121,56.94407
-35.057782,156,57.073699
-5.83679,141,57.188494
-73.469741,226,57.37341
-26.459797,194,57.554867
-108.217785,223,57.729981
-8.711947,150,57.845773
-10.445153,102,57.924134
-46.624653,166,58.052119
-35.29162,143,58.180813
-101.91443,214,58.348671
-122.48544,195,60.386727
-124.711019,236,60.591793
-24.907436,159,60.716782
-8.541514,108,60.80723
-2.312344,195,60.959449
206.76813,636,61.530615
