#{"t_start": 1783885131.5194988, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.85424
-119.873151,78,0.880507
-185.423265,64,0.905581
-378.535101,103,0.945032
-94.028052,74,0.970726
-134.417143,82,1.000016
-69.778725,69,1.025049
-80.346029,66,1.046537
-98.433404,99,1.080208
-128.721352,86,1.110317
-106.93505,63,1.130675
-210.400887,123,1.175117
-24.561323,118,1.214271
-159.970325,96,1.24775
-184.932939,86,1.276387
-252.284203,95,1.311067
-117.603145,73,1.340752
-195.296713,79,1.375791
-330.764731,114,1.413643
-186.305367,62,1.434138
-261.025312,86,1.476842
-208.709875,84,1.512594
-112.77929,69,1.536975
-100.79755,60,2.299722
-101.105433,66,2.323344
-321.245046,110,2.363935
-132.268162,93,2.397753
-129.729553,85,2.428483
-236.963718,102,2.476988
-111.951253,74,2.503778
-47.6483,69,2.529826
-98.501195,85,2.561889
-91.202718,63,2.587308
-125.480567,101,2.624219
-43.784785,77,2.654268
-62.523669,69,2.677433
-222.58879,107,2.714695
-268.720189,96,2.752938
-338.679569,140,2.806102
-103.264128,74,2.837415
-113.122231,100,2.871626
-355.990002,111,2.910428
-399.078504,94,2.947063
-131.067314,77,2.973608
-101.351065,80,3.001981
-81.87519,99,3.037053
-305.396065,92,3.579204
-44.937564,66,3.604347
-199.630786,80,3.640517
-38.861394,73,3.697671
-359.58325,93,3.740471
-66.34783,78,3.773425
-196.588763,110,3.819041
-96.554414,81,3.85184
-190.883551,92,3.892977
-132.915203,80,3.924977
-152.516735,66,3.950037
-69.694181,76,3.97544
-77.842271,103,4.022496
-147.361243,72,4.050294
-107.362815,81,4.078263
-80.768803,94,4.114316
-99.065435,71,4.140904
-105.270351,70,4.165956
-166.483381,87,4.197232
-20.148659,76,4.229016
-198.684204,108,4.264886
-310.997286,93,4.297957
-450.198758,133,4.348578
-131.715096,107,4.386832
-267.99824,137,5.859213
-281.130342,105,5.894846
-288.325071,155,5.956343
-457.296266,110,5.993364
-435.748559,127,6.034902
-5.021448,135,6.080208
-145.200821,125,6.123966
-58.791504,84,6.151955
-345.471947,83,6.180642
-174.933313,108,6.215282
-322.651638,85,6.255618
-308.85797,111,6.293213
-434.039851,92,6.323682
-303.979376,124,6.368544
-336.389917,178,6.436233
-249.395873,118,6.495384
-80.493669,67,6.522953
-74.602611,94,6.555951
-176.139578,130,7.149456
-55.924137,80,7.177818
-178.013634,114,7.232299
-182.737959,163,7.285511
-92.696119,86,7.317179
-74.867096,83,7.343537
-85.855841,83,7.37498
-115.665596,90,7.410918
-88.302614,87,7.441834
-97.686356,121,7.488694
-319.293434,174,7.550322
-199.999248,100,7.600402
-275.793046,170,7.660142
-73.283207,83,7.689836
-131.40823,80,7.736811
-339.717766,95,7.796189
-93.505338,100,7.833604
-69.453193,76,7.859782
-93.203554,86,7.900805
-153.210958,71,7.925681
-422.02759,107,8.800008
-118.563301,97,8.831355
-159.066095,97,8.863263
-2.19738,94,8.8936
-77.446013,73,8.918124
-75.814637,82,8.9447
-118.82037,110,8.981307
-2.002581,95,9.01273
-181.178114,100,9.046011
-324.919428,108,9.08152
-122.312836,80,9.109242
-36.642181,97,9.141978
-426.535858,83,9.173291
-133.601635,94,9.205806
-96.523578,143,9.253497
-135.684149,112,9.290421
-261.51839,98,9.329402
-183.236439,156,9.383368
-250.823127,140,9.43179
-161.3213,178,10.783335
-206.506453,94,10.815134
-77.566361,127,10.853748
-164.553856,122,10.898044
-378.193304,114,10.932406
-77.168816,124,10.973603
-468.393978,157,11.020852
-429.817535,136,11.062614
-97.786593,94,11.092825
-321.142694,118,11.130068
-124.95651,122,11.168424
-325.744277,130,11.210918
-70.439918,95,11.242236
-317.583543,111,11.279389
-369.210696,134,11.324538
-125.438659,139,11.367557
-141.206489,94,11.396087
-2.788836,132,11.873219
-112.143015,129,11.913729
-127.547776,96,11.955658
-90.279702,89,11.996221
-49.865569,87,12.027516
-65.388949,112,12.064016
-197.751919,136,12.11423
-1.04874,207,12.180584
17.860066,130,12.222173
-120.955867,150,12.270345
-10.1328,85,12.317618
-150.000298,89,12.352453
-57.362182,108,12.385369
-27.495693,93,12.414108
-112.021716,103,12.44831
-250.50614,103,12.482648
-83.985689,97,12.5148
-41.674711,76,12.554442
-75.771448,123,13.022234
-280.913264,177,13.083572
-40.862668,182,13.139903
-115.155805,200,13.202307
-22.509791,95,13.23473
-108.308147,100,13.267102
-105.080739,130,13.336343
-116.696004,140,13.383354
-116.000207,113,13.418781
-123.550087,225,13.497589
-106.441094,100,13.530225
-479.720522,149,13.578431
-52.241816,102,13.613157
-80.558045,195,13.672998
-172.809071,144,14.150352
-209.447546,155,14.201952
-67.557914,180,14.258969
-40.549701,142,14.302196
-245.140301,218,14.378805
-260.403459,158,14.426328
-193.247552,208,14.491132
-75.387718,103,14.523183
-101.855231,171,14.580066
-226.02675,244,15.40168
-79.326094,300,15.494476
-224.117493,128,15.536297
-224.149528,207,16.801762
-41.670941,187,16.862599
-34.407412,175,16.919815
-601.808293,262,17.00236
-88.906113,157,17.052303
-204.380688,166,17.107029
-182.304104,149,17.155681
-62.771317,129,17.194328
-116.23603,178,17.249231
-37.788415,171,17.304079
-123.576859,124,17.352079
-119.261679,159,17.829638
-132.059894,119,17.866333
-53.475802,91,17.896665
-103.147249,125,17.935563
-79.796374,115,17.974129
-23.242628,102,18.009437
-51.210181,86,18.037388
-53.636128,84,18.063298
-94.273138,166,18.114771
-333.236117,158,18.166354
-49.912338,83,18.19217
-83.631684,119,18.232253
13.673308,103,18.264531
-258.922127,163,18.319315
-106.024608,119,18.357063
36.36873,142,18.402701
-57.552033,110,18.43847
-97.089348,180,18.915663
-39.246596,85,18.94168
-243.437844,98,18.974374
20.883435,92,19.004972
26.329137,1000,19.339207
-29.518088,117,19.377525
-93.23359,144,19.4245
-211.366637,159,19.472336
-167.154016,148,19.52096
-38.202197,178,20.03282
-221.241899,130,20.072636
-37.388735,102,20.103706
-42.694226,103,20.136567
-102.423286,128,20.178275
-160.524068,206,20.242496
-171.268727,181,20.30292
-28.254251,162,20.353754
-71.672807,121,20.390053
-112.077614,163,20.44144
-82.821258,83,20.46786
-132.78181,293,20.575454
-28.173289,92,20.607238
-35.473102,158,20.65984
-16.961807,128,21.128596
8.064267,100,21.160605
29.594511,122,21.199093
