#{"t_start": 1783885601.9410274, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.046246
-119.873151,78,0.07152
-185.423265,64,0.091245
-378.535101,103,0.124287
-94.028052,74,0.147571
-134.417143,82,0.172964
-69.778725,69,0.194676
-80.346029,66,0.215458
-98.433404,99,0.254108
-128.721352,86,0.285197
-106.93505,63,0.305006
-210.400887,123,0.349697
-24.561323,118,0.393325
-159.970325,96,0.42673
-184.932939,86,0.461092
-252.284203,95,0.500175
-117.603145,73,0.527494
-195.296713,79,0.557784
-330.764731,114,0.598835
-186.305367,62,0.621391
-261.025312,86,0.651284
-208.709875,84,0.677528
-112.77929,69,0.699333
-100.79755,60,1.389639
-121.907865,66,1.415318
-160.46639,104,1.455006
-136.051365,91,1.489057
-113.001764,72,1.516035
-148.529451,74,1.544517
-270.369869,77,1.573874
-138.086565,58,1.59769
-389.168899,88,1.630259
-311.112312,99,1.665883
-298.239052,86,1.696553
-384.616244,101,1.732341
-229.753541,87,1.763052
-103.621055,93,1.795205
-168.7399,120,1.837156
-87.186949,121,1.877971
-193.582404,68,1.901727
-107.505247,98,1.935889
-256.247879,131,1.981119
-149.661138,98,2.015177
-69.469778,83,2.044274
-361.014218,101,2.07889
-46.572223,106,2.124569
-113.258988,87,2.762848
-331.689486,79,2.792234
-201.667064,130,2.841104
-286.104007,118,2.890155
-179.872495,87,2.929167
-139.036068,120,2.978681
-65.563527,61,3.003776
-151.741136,68,3.032334
-72.399777,64,3.056295
-255.456261,112,3.096085
-288.86997,102,3.131872
-480.071364,108,3.174895
-119.88052,113,3.222425
-111.031908,59,3.242492
-110.55735,72,3.266401
-99.901293,76,3.298504
-129.131008,74,3.356872
-208.964418,135,3.402086
-124.600143,105,3.437016
-129.682184,82,3.463785
-174.663158,64,3.501176
-95.830624,68,3.532843
-68.531084,73,3.561818
-99.529366,92,5.012912
-379.961267,137,5.078618
-77.293248,91,5.111809
-323.646963,105,5.150338
-183.922391,100,5.187038
-95.203246,88,5.220176
3.578007,121,5.264897
-19.934131,126,5.316962
-213.855118,108,5.354725
6.989479,66,5.38244
-57.282898,79,5.415825
-120.313581,85,5.451642
-116.489489,77,5.48155
-163.582248,118,5.530091
-122.971843,78,5.560956
-338.766759,117,5.614299
-84.794546,78,5.643198
-29.644096,126,5.778351
-118.374346,76,5.81516
-192.097555,142,5.87618
-111.625268,104,7.426659
-262.202015,141,7.485035
-242.5004,83,7.528169
-133.335122,112,7.569937
-175.25421,100,7.606908
-102.656126,101,7.643343
-124.971534,126,7.693525
-107.599046,136,7.744918
-129.919329,67,7.773911
-229.908912,84,7.804746
-92.124997,72,7.835054
-113.582055,120,7.878127
-118.047188,89,7.910445
-255.286482,90,7.942415
-148.891128,84,7.972238
-212.948447,86,8.002693
-109.011363,128,8.046614
-219.431453,93,8.077645
-134.599052,92,8.108451
-170.084616,101,8.14185
-69.509075,89,8.832655
-21.221226,79,8.864129
-77.861841,127,8.9101
-74.510331,93,8.944315
-178.698994,138,9.000204
-72.362731,72,9.026635
-70.00067,67,9.050655
-154.455486,111,9.089395
-96.173935,84,9.11873
-136.49765,145,9.169161
-141.733909,96,9.202242
-96.844469,73,9.228638
-96.579921,100,9.267284
-38.077257,144,9.315127
-262.50519,109,9.352633
-91.354885,101,9.386694
-71.953388,79,9.412977
-103.774638,118,9.452494
-71.754193,144,9.500314
-165.296072,95,9.532044
-216.742185,125,10.610857
-115.857128,77,10.641937
-87.638594,113,10.690841
-252.324995,91,10.733725
-211.488554,81,10.763881
-332.831195,126,10.808968
-156.780089,113,10.866901
-76.464611,89,10.910829
-174.876839,140,10.967468
-102.427288,90,11.003333
-99.160066,101,11.04602
-83.669705,80,11.076733
-101.468612,91,11.1139
-168.601398,140,11.169565
-287.424768,132,11.216535
-37.917592,119,11.25817
-451.489795,123,11.303861
-249.519173,154,11.359906
-88.006898,82,11.388541
-219.079476,129,12.063015
-47.765557,92,12.103163
-138.410667,101,12.155378
-121.403228,96,12.19994
-219.732152,115,12.24801
-57.953507,74,12.282504
-238.857689,134,12.332867
-179.00115,110,12.382462
-105.93506,128,12.430048
23.063289,110,12.472523
-299.604055,139,12.521104
-84.204304,89,12.55396
-151.970311,79,12.60112
-125.592223,128,12.651879
-118.910886,92,12.684957
-41.331769,67,12.70922
-51.62281,84,12.739071
-128.136534,74,12.764827
-78.336056,66,12.790458
-146.574453,103,12.82819
-125.388204,92,13.773691
-132.670518,92,13.814744
-253.059954,152,13.872598
-70.931159,138,13.923726
-74.147197,126,13.971913
-133.267932,110,14.012168
-82.558366,76,14.041569
-75.702736,129,14.087952
-93.826916,73,14.117165
-77.13222,111,14.165819
-50.747574,132,14.223756
-80.964415,95,14.262146
-236.737177,116,14.303059
-113.563757,99,14.346099
-38.888552,65,14.368008
-157.135433,98,14.400183
-102.11878,133,14.443902
-78.101582,67,14.466298
-58.106016,114,14.514959
-80.900527,134,15.382394
-294.84351,150,15.445823
-47.203319,111,15.497997
-160.307331,97,15.533256
-191.091137,131,15.59069
-66.006141,79,15.622999
-105.828284,152,15.681135
-25.124341,103,15.721765
-37.075244,113,15.76586
-102.049181,141,15.824592
-42.228182,100,15.864401
-66.798848,70,15.891258
-140.25017,77,15.920948
-215.148358,157,15.978627
-245.283622,96,17.025198
-86.574239,121,17.084286
-249.905345,108,17.126269
-62.573855,77,17.173506
-103.109656,78,17.199287
-34.302946,105,17.817453
-154.531308,147,17.879519
-92.387591,130,17.927436
-30.720985,74,17.954901
-66.889814,97,17.99309
-201.894043,157,18.059014
-40.804624,161,18.112757
-86.972832,87,18.141804
43.891902,1000,18.486237
-127.231101,128,18.533519
-110.636052,94,19.934891
-134.043008,111,19.981604
-29.039099,108,20.028294
-72.63367,118,20.071234
-65.049538,135,20.16609
-85.866888,74,20.20562
-380.760486,114,20.251374
-67.636939,149,20.306907
-66.930147,119,20.351022
-163.448824,140,20.40088
-77.757757,94,20.434307
-38.465425,78,20.462251
-244.860525,119,20.503855
-87.937945,163,20.55956
20.137481,92,20.591281
-97.86995,88,20.621346
-116.394554,82,20.649208
-55.893341,69,20.673015
-81.717518,126,20.717683
-185.755629,134,22.079516
-43.12816,81,22.108667
-85.213367,99,22.145368
-230.957135,141,22.197349
-76.533858,87,22.231349
-98.514951,126,22.29009
-49.028045,89,22.326884
