#{"t_start": 1783885703.1228466, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.08333
-119.873151,78,0.108689
-185.423265,64,0.128447
-378.535101,103,0.162954
-94.028052,74,0.194485
-134.417143,82,0.228727
-69.778725,69,0.251927
-80.346029,66,0.274336
-98.433404,99,0.306002
-128.721352,86,0.333773
-106.93505,63,0.357263
-210.400887,123,0.3962
-24.561323,118,0.4375
-159.970325,96,0.471655
-184.932939,86,0.501165
-252.284203,95,0.536277
-117.603145,73,0.571613
-195.296713,79,0.609579
-330.764731,114,0.655931
-186.305367,62,0.680603
-261.025312,86,0.716777
-208.709875,84,0.746542
-112.77929,69,0.779994
-100.79755,60,1.316827
-101.105433,66,1.342209
-292.76954,105,1.388514
-119.230028,110,1.437364
-102.633819,98,1.474029
-66.572567,83,1.499218
-233.274432,99,1.528961
-287.387268,134,1.569205
-140.04644,106,1.612424
-297.314375,102,1.648578
-116.771882,122,1.70548
-87.591687,131,1.749518
-189.865781,128,1.792908
-80.047971,112,1.828364
-330.001531,88,1.855695
-321.95662,91,1.884138
-62.446363,81,1.909473
-183.912885,91,1.938858
-358.057661,88,1.966547
-275.70369,84,1.994052
-72.401406,96,2.024155
-217.400059,131,2.661365
-320.07358,90,2.691895
-64.601195,71,2.715416
-250.332526,139,2.760909
-92.035852,69,2.78353
-234.527819,70,2.805588
-364.060826,110,2.84113
-477.398571,113,2.885615
-176.505151,92,2.919389
-283.130777,87,2.947502
-176.70595,92,2.976049
-145.26894,122,3.014263
-59.063658,65,3.035138
-430.789317,104,3.06738
-332.709708,109,3.101722
-120.98081,100,3.133118
-85.119895,93,3.167927
-159.824288,85,3.196505
-417.287845,111,3.233483
-106.993393,115,3.270898
-452.283859,74,3.294858
-553.218018,130,3.84299
-63.098752,141,3.887918
-211.153996,102,3.937493
-13.28372,120,3.996384
-91.199929,85,4.024159
-143.365799,105,4.060489
-371.864338,122,4.101376
-266.662332,128,4.14419
-497.876274,113,4.183084
-173.232426,91,4.213531
-108.028104,86,4.242957
-198.810766,80,4.270273
-179.302613,87,4.299654
-82.832613,76,4.327442
-179.711548,119,4.37966
-138.460517,85,4.409675
-319.348315,138,4.458916
-114.44801,105,4.497771
-269.296531,98,4.530542
-284.033058,110,6.873763
-63.001017,126,6.924637
-180.182991,100,6.959759
-364.574141,135,7.008211
-228.383268,93,7.039411
-120.388044,99,7.074664
-85.586727,90,7.10485
-159.097378,64,7.131731
-39.648497,151,7.219198
-109.030218,65,7.240527
-105.195373,137,7.282036
-54.126956,74,7.304834
-79.343821,73,7.328348
-183.382508,84,7.354337
-290.757585,111,7.390121
-103.103007,69,7.411498
-152.595601,129,7.451395
-124.389386,99,7.481898
-153.383545,120,7.51873
-49.756674,94,7.555124
-82.325004,78,7.584756
-326.359723,113,8.181709
-111.761856,112,8.229781
-68.613858,73,8.26072
-163.200918,137,8.311466
-178.150175,126,8.357782
-218.405639,129,8.404686
-224.041261,131,8.456167
-154.171099,87,8.487793
-132.011375,105,8.525757
-324.61753,133,8.574675
-116.052477,116,8.614968
-101.105049,86,8.646686
-93.60485,76,8.672605
-218.165763,128,8.715842
-97.307932,127,8.760529
-215.122576,73,8.785985
-49.177242,85,8.814864
-184.011551,102,8.849865
-317.415024,127,10.302222
-119.371674,123,10.352745
-308.527871,97,10.382408
-272.182246,103,10.413936
-22.464414,99,10.444267
-314.015257,136,10.489385
-70.388451,71,10.514394
-26.40209,88,10.547393
-188.480223,129,10.597317
-348.226034,115,10.641975
-292.4548,147,10.698565
-53.593484,89,10.731661
-67.923821,74,10.760711
-54.500709,72,10.790131
-82.944663,80,10.815368
-100.107186,116,10.852126
-108.803153,86,10.879751
-408.03988,113,10.916163
-96.050109,103,10.948981
-296.948882,131,10.992898
11.703354,157,11.894124
-11.240895,88,11.926138
-100.615841,131,11.973032
-154.945092,114,12.020681
-192.523067,135,12.072284
-128.120297,107,12.111603
-8.215721,94,12.144569
-107.208541,75,12.171775
-216.193036,140,12.222672
-73.43568,101,12.259162
-148.999545,94,12.293249
-121.795969,106,12.331262
-94.712666,135,12.379287
-58.386876,72,12.405847
-86.793406,141,12.454713
-123.615988,112,12.493381
-90.388901,87,12.522598
-54.432054,74,12.548997
-84.243269,100,12.593762
-201.849641,102,14.217857
-58.945498,112,14.27831
-49.24681,84,14.305745
-113.053695,82,14.331661
-40.952979,134,14.379202
-172.528181,107,14.415788
-110.91963,103,14.451156
3.152015,117,14.488562
-18.270748,136,14.532283
-215.654031,122,14.585208
-185.673254,99,14.628074
-78.003879,84,14.659725
-31.508057,102,14.698497
-17.807061,129,14.742314
-40.431567,165,14.801714
-2.884977,83,14.829981
-112.67931,102,14.865098
-72.511949,105,14.901411
-85.807773,96,14.933944
-59.366237,83,15.553357
-105.727038,127,15.611224
-87.697562,103,15.654152
-83.643613,84,15.687745
-84.626202,108,15.727009
-94.426785,123,15.770746
-85.253037,79,15.799582
-89.890646,83,15.83619
-116.844881,124,15.878827
8.563064,111,15.916939
9.019656,111,15.954669
-64.542021,102,15.988966
-26.202853,95,16.021107
-93.858933,101,16.080526
-34.723272,79,16.108884
-224.471673,150,17.041345
-56.221905,78,17.069675
-50.474836,116,17.111353
-100.552965,92,17.144665
-75.505119,112,17.184247
-22.200197,133,17.893489
-21.396439,84,17.926121
-70.719959,100,17.965249
-138.374322,114,18.012659
-59.41925,106,18.080345
-73.705469,135,18.135032
-78.930634,137,18.200591
-116.759152,129,18.248008
-16.668648,110,18.286088
-132.045949,86,18.317547
-30.452956,108,18.357755
-116.747708,129,18.406953
-50.235775,134,18.461101
-65.856447,150,18.514603
-33.833761,119,18.555363
-72.957128,152,18.607256
-112.660342,143,18.656645
-72.082934,98,19.354988
-45.534798,90,19.389009
-118.472545,162,19.44941
-6.15124,130,19.496687
-108.342416,121,19.539721
-85.173727,89,19.571123
-44.80225,160,19.626709
-78.642949,145,19.676734
-176.987504,116,19.716102
-94.228157,114,19.755286
-86.575379,121,19.796787
-32.442269,131,19.840965
-62.326844,146,19.889723
-48.470739,170,19.945711
-66.698196,139,19.99274
-38.197108,121,20.033618
-49.628026,157,21.794462
-50.654735,110,21.832673
-58.862385,133,21.878986
-21.749226,87,21.909236
-68.671007,144,21.967714
-6.574149,115,22.008113
-48.16651,226,22.09218
-91.532152,170,22.156228
-0.786765,118,22.196
-27.067457,180,22.255068
-79.523428,170,22.310309
-90.943594,141,22.356435
-201.661116,182,22.419426
-103.530901,97,22.457051
-157.208248,123,24.049752
-56.958003,170,24.114691
-184.037451,194,24.198224
-205.478361,179,24.25865
-62.323648,146,24.30644
-29.461088,151,24.356008
-22.691984,150,24.404675
-18.500709,143,24.450164
-251.896082,134,24.492869
-63.928398,251,24.579242
-57.560903,194,24.642196
-159.53275,196,24.707927
-21.599343,140,26.271671
-44.25544,180,26.336241
-208.938689,265,26.431075
-159.618615,276,26.54113
-48.071773,131,26.589496
-149.348448,103,26.628014
-77.957875,289,26.726663
-168.868719,164,26.784621
-0.714682,149,26.83348
-69.476463,178,26.89365
-76.554964,149,26.943529
-195.112345,194,27.64283
5.685453,159,27.699909
4.019266,118,27.742634
-65.624532,184,27.823159
-44.733211,129,27.883827
-48.281106,117,27.926818
-4.529533,149,27.986716
12.115298,117,28.030512
-4.588912,144,28.080232
-275.538559,190,28.154387
4.346544,208,28.23619
-206.008252,210,28.321473
-32.919198,122,28.363048
-17.803497,218,29.592602
-72.321857,154,29.665779
-40.693756,115,29.707608
-267.294988,304,29.818434
-31.286784,236,29.908634
121.289884,1000,30.313239
-112.677609,129,31.736831
-102.376662,258,31.829833
60.085746,1000,32.223745
3.270807,139,32.287416
-33.482918,149,32.342747
-26.270731,241,32.455678
-149.580125,207,32.544607
-49.219224,128,33.212626
22.813137,138,33.260699
-127.079716,234,33.340827
-320.852774,212,33.412604
-157.76395,125,33.461159
-77.517054,168,33.541358
-48.265838,185,33.603875
-54.909228,230,33.681191
-96.724195,216,33.756425
-6.948154,224,33.83366
-87.498573,182,33.896035
-36.033692,216,35.370865
-89.063588,238,35.460342
14.179082,209,35.54307
-10.924993,194,35.618096
-83.05198,115,35.664654
-23.567626,161,37.03673
-2.654904,171,37.120713
-64.136789,99,37.157882
-13.15333,157,37.220286
-26.101664,102,37.258749
-57.655591,207,37.341583
117.453345,1000,38.515215
6.502283,139,38.573284
-0.455577,126,38.625673
-25.748169,151,38.68205
-49.030954,101,38.721066
13.165766,197,38.799592
17.85792,106,38.8462
22.076238,153,38.909689
-98.847915,177,38.977239
-6.622434,226,40.833725
26.132109,119,40.88445
101.744152,1000,41.267025
-3.521222,175,41.32686
-71.787632,224,41.403092
-68.423994,169,41.460707
-107.49767,211,41.532221
50.433392,187,42.16736
-5.843307,179,42.230976
-22.562947,141,42.283277
-17.629306,148,42.339092
36.942989,146,42.394393
-0.826602,126,42.440731
6.603389,115,42.484319
-19.227158,169,42.544733
-36.298453,152,42.604097
-2.095341,157,42.659664
16.793597,195,42.725926
14.917251,189,42.802194
-25.13192,171,43.713441
-45.891179,208,43.800995
-20.716391,260,43.896385
-27.152293,203,43.978394
-6.06676,117,44.034681
-228.313229,229,44.137666
-10.176075,138,44.193358
-132.781598,194,44.267724
87.199199,1000,45.274533
-28.299045,225,45.353961
-202.975488,313,45.471545
-181.939286,160,45.57053
-211.631048,238,45.682541
31.449927,170,45.745785
41.633182,1000,47.681569
-57.04558,200,47.756655
18.707086,207,47.833089
-120.757869,206,47.90862
-133.881503,223,47.985339
4.196275,224,48.075596
-22.430529,235,48.160192
-24.684068,249,48.265226
117.883503,1000,50.057606
-127.133178,304,50.191891
-165.448026,383,50.318229
-218.789016,213,50.388763
78.89094,1000,51.411501
-0.791856,222,51.490071
7.652022,189,51.556828
-29.382422,328,51.678567
5.148032,274,51.785549
-22.932708,248,51.880302
-41.43669,243,53.433642
-53.667536,215,53.52694
95.560742,1000,53.945236
17.723599,203,54.016444
11.034121,284,54.115361
-23.829175,259,54.902302
-11.878757,216,54.975499
-59.451128,162,55.029874
45.891133,1000,57.443789
50.792583,176,57.499205
-77.988594,213,57.566522
-54.271184,301,58.419268
2.67642,1000,58.790949
65.402455,198,58.863995
-20.731983,239,58.958268
-17.483384,282,59.071292
-10.884586,228,59.160923
-38.415872,281,60.053218
-2.473751,230,60.1379
-7.477822,119,60.181816
91.932038,1000,60.584816
151.713525,615,61.851495
145.307452,1000,62.238993
-14.145109,244,62.319256
47.265875,1000,63.380447
-34.096446,272,63.479999
4.983369,249,63.568399
97.204232,1000,63.956941
-21.713413,216,65.39756
0.372365,201,65.481409
-7.657734,191,65.566611
42.90255,197,65.650074
108.887877,1000,66.023767
-174.224375,277,66.110271
104.430886,1000,67.202007
-100.065229,268,67.293101
35.446565,1000,68.835786
127.513349,1000,69.350088
142.861812,1000,71.088405
110.597328,1000,71.474386
104.600902,1000,73.330829
-12.495457,227,73.416945
113.053748,1000,73.88157
-31.769848,245,73.989134
-139.974695,579,75.071294
103.313496,1000,77.042499
3.922021,361,77.159952
-69.060656,355,77.283939
41.410182,1000,78.320668
94.412518,1000,78.724723
-147.623943,317,78.8381
-21.465187,242,79.62311
87.722029,1000,80.008029
45.23077,1000,81.758626
39.61461,1000,82.148831
-64.002549,240,82.224808
84.851255,1000,83.361674
-85.994988,326,83.494989
-116.586549,348,83.624324
52.537406,1000,84.01334
141.994552,1000,84.949713
117.004712,1000,85.346161
101.912872,1000,86.381958
162.39726,677,86.666083
