#{"t_start": 1783885401.2048495, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.075269
-119.873151,78,0.101957
-185.423265,64,0.12345
-378.535101,103,0.163341
-94.028052,74,0.190632
-134.417143,82,0.223015
-69.778725,69,0.247136
-80.346029,66,0.274346
-98.433404,99,0.309433
-128.721352,86,0.338588
-106.93505,63,0.360317
-210.400887,123,0.399455
-24.561323,118,0.440781
-159.970325,96,0.480245
-184.932939,86,0.52029
-252.284203,95,0.551122
-117.603145,73,0.57471
-195.296713,79,0.604426
-330.764731,114,0.642109
-186.305367,62,0.663169
-261.025312,86,0.694373
-208.709875,84,0.723331
-112.77929,69,0.746177
-100.79755,60,2.222833
-102.23545,66,2.255724
-385.365145,113,2.301872
-55.536554,113,2.344072
-98.495118,110,2.394096
-335.890266,102,2.430012
-311.03611,97,2.467135
-127.953845,116,2.525496
-102.467981,71,2.570626
-306.48407,126,2.63008
-37.219754,113,2.667354
-121.994462,93,2.730693
-97.538892,96,2.768973
-438.525614,130,2.808586
-129.589834,95,2.837484
-111.906899,87,2.864138
-125.004954,92,2.892397
-235.450186,63,2.912235
-111.888263,93,2.94143
-108.054022,77,2.971835
-178.20978,71,3.014467
-78.771076,105,3.046669
-136.271168,134,3.584083
-133.117666,155,3.630326
-87.911727,99,3.671479
-117.777474,113,3.713332
-380.51339,116,3.751023
-141.389803,105,3.788924
-94.522317,85,3.815003
-70.614763,68,3.842274
-333.184799,108,3.875107
-554.188691,112,3.911247
-113.750006,110,3.944011
-216.008439,102,3.975551
-108.945534,66,3.998209
-75.868679,84,4.02626
-181.126974,92,4.063299
-268.169785,97,4.098396
-126.928815,105,4.130748
-205.271421,76,4.154482
-157.968994,71,4.176948
-68.643446,112,4.211455
-459.255907,89,5.151733
-117.332666,91,5.182749
-66.11413,67,5.204119
-58.312175,79,5.238062
-255.114226,87,5.271158
-260.391118,122,5.312273
-486.036089,112,5.364808
-504.210181,129,5.411945
-381.1306,132,5.458444
-390.806221,86,5.489059
-185.114018,66,5.515161
-38.751632,74,5.545703
-340.368201,146,5.589854
-206.279065,96,5.619082
-335.231477,108,5.652107
-340.001938,93,5.681013
-382.209752,119,5.717036
-371.084128,96,5.746414
-174.311124,147,5.792039
-237.760149,84,5.81923
-106.894117,82,7.462895
-30.94297,89,7.500106
-213.990378,86,7.53231
-211.59569,116,7.58123
-154.230058,133,7.640806
-88.298477,97,7.67352
-90.020795,97,7.708466
-256.214283,122,7.750114
-172.609792,138,7.797865
-164.717858,78,7.822274
-150.951902,104,7.853714
-267.171752,136,7.896693
-248.242822,89,7.925518
-47.073446,148,7.973858
-87.445027,126,8.01343
-87.908832,72,8.037524
-105.105213,93,8.075195
-166.138564,107,8.12501
-37.941051,111,8.159109
-171.87718,126,8.752674
-246.046227,122,8.793153
-116.498799,111,8.842969
-32.767586,160,8.891532
-111.79196,120,8.927957
-72.786496,120,8.965878
-46.05043,126,9.017606
-70.691219,102,9.056543
-219.568826,114,9.098322
-104.5315,93,9.132431
-30.442217,80,9.158407
-212.602834,120,9.200237
-79.024267,92,9.244628
-261.334599,107,9.28863
-94.060425,154,9.338893
-269.791631,193,9.420265
-93.057644,122,9.47696
-81.23106,142,10.925805
-207.456383,108,10.968717
-49.4959,176,11.031127
-460.91487,151,11.090678
-183.929821,115,11.134605
-58.874841,117,11.1726
-248.012676,163,11.236147
-82.679316,102,11.269543
-92.157117,122,11.310586
-77.104097,125,11.360468
-290.540882,137,11.405748
-141.459653,167,11.45621
-64.304855,127,11.494431
-227.103752,138,11.550957
-151.374944,176,11.603326
-52.161725,145,13.025277
-206.745159,135,13.073529
-94.28044,116,13.113465
-1.260314,121,13.156402
-62.941411,163,13.209434
-200.285659,131,13.253204
-76.886973,103,13.292904
-104.303042,128,13.333042
-79.230199,154,13.386919
-45.064821,111,13.42516
-49.930677,110,13.462914
-96.25729,160,13.516494
-155.354414,151,13.566585
-2.102614,110,13.611557
-197.93989,129,13.65176
-109.368375,137,13.701267
-119.347688,149,14.54945
21.747239,214,14.617508
-269.595609,208,14.685741
-73.230186,148,14.737829
-67.495497,269,14.8491
-212.934722,122,14.88897
-82.479439,172,14.945743
-220.840356,259,15.056019
-4.801376,196,15.140162
-257.699014,241,15.21991
-24.028009,126,16.586724
-154.211712,227,16.678895
-39.223478,127,16.72754
-194.547211,223,16.805626
-312.170537,268,16.90394
-163.454739,480,17.069853
-205.74778,164,17.138583
-12.132912,187,17.974404
-379.694077,283,18.065238
-45.663789,243,18.852436
8.078432,129,18.904967
-58.513503,87,18.937728
-6.048776,136,18.982997
-127.676262,175,19.042006
-5.912541,172,19.098515
-209.024172,219,19.170687
69.838177,1000,20.054679
-38.931058,135,20.096699
-84.057719,140,20.139704
-36.749738,125,20.190724
-267.947706,187,20.249383
-31.599669,173,20.303168
-133.437274,164,20.359878
83.721857,1000,20.717998
-17.798549,91,21.266379
29.481359,137,21.311086
-82.388293,238,21.389053
-237.248336,198,21.453906
11.140216,1000,21.820078
-43.023355,201,21.900373
-326.545497,221,21.988379
-284.492312,165,23.456243
-95.866199,222,23.535609
-110.480169,287,23.649091
-272.290008,211,23.724273
-108.224895,223,23.801514
-279.804711,214,23.875204
21.046124,214,23.95537
-346.191121,320,24.055653
-77.998026,126,24.093674
-92.110807,319,24.802078
-111.772745,209,24.877098
-7.698382,263,24.972773
-42.341513,274,25.067524
-228.277019,280,25.159656
-57.379073,354,25.273075
12.020653,325,25.38348
-8.29634,213,25.944561
1.231501,198,26.003865
-153.330309,198,26.072906
4.138204,183,26.135061
-125.716235,244,26.20902
-75.592728,258,26.286139
-24.145602,241,26.357715
-224.271991,148,26.401599
-277.720273,186,26.457366
-254.645995,185,26.512088
91.86138,1000,28.141441
-277.01536,226,28.221309
-130.226174,229,28.304329
-220.445288,264,28.389029
-206.181788,219,28.462237
-157.156601,227,29.922258
-210.41907,235,30.006863
-160.290577,211,30.10343
-153.693408,208,30.188446
-53.834088,237,30.277085
42.848756,206,30.36176
-139.652958,225,30.450048
-303.427952,376,30.560587
-32.757215,231,30.628752
-189.623926,248,32.193859
80.102805,1000,32.555695
-134.134553,382,32.693686
-476.886952,373,32.815789
-49.988172,356,34.214367
44.234979,1000,36.56476
-9.228297,244,36.650454
145.907261,1000,38.441987
-86.470598,398,38.580222
-160.889004,178,38.643677
-153.48071,330,38.760005
-16.806236,326,38.893644
-133.717442,604,39.655465
-127.624549,532,39.892921
-77.185673,284,40.020859
90.264935,1000,40.411351
-25.810632,140,41.001802
-32.246977,333,41.101526
-225.702372,534,41.273653
-182.359736,223,41.354665
103.164893,1000,43.01512
-84.847381,298,43.150154
-50.412711,377,43.299491
-38.103725,250,43.435107
-39.480709,389,43.637971
5.081112,287,43.7401
112.50221,1000,45.033852
22.787385,1000,45.369443
-38.011789,1000,47.19778
-4.420304,364,47.339072
164.134172,1000,47.728194
-184.880544,304,49.279908
74.082081,1000,49.623745
98.863021,1000,50.650334
-49.18351,500,50.863059
-106.919035,884,51.225389
-70.542236,305,51.354228
-12.481476,250,52.513254
-21.694824,1000,52.876854
16.788066,1000,53.939858
111.649676,1000,57.076747
101.330746,1000,58.774003
146.39212,1000,59.146859
-31.943364,1000,59.495115
29.932513,1000,60.606423
-141.18427,991,60.956145
3.175743,1000,62.094871
17.614539,1000,62.439723
-90.169259,1000,63.420842
70.858358,1000,63.787395
-82.260766,1000,65.70172
-61.749062,1000,66.060168
-75.759743,1000,66.951228
-70.938657,1000,67.299108
-57.114783,1000,69.31316
-116.806554,1000,69.653667
-31.00947,1000,70.909106
-50.799827,1000,71.246084
-45.751505,1000,72.239691
-124.567521,1000,72.615557
-56.320261,1000,76.29663
-52.927009,1000,76.607506
-48.30018,1000,77.482471
-66.537568,1000,77.901161
-73.791577,1000,79.74923
-76.901797,1000,80.110449
-74.23079,1000,81.211836
-43.567104,1000,81.544524
-52.893882,1000,82.651282
-73.357284,1000,83.045277
-51.129395,1000,84.276487
-69.121844,1000,84.646222
-45.869884,1000,85.852717
-58.732856,1000,86.223974
-70.285378,1000,88.104095
-85.931749,1000,88.489933
-11.542467,1000,89.463154
-55.297808,1000,89.786769
-43.142455,1000,90.77236
-47.054973,1000,91.149343
