#{"t_start": 1783885305.4332967, "env_id": "LunarLander-v3"}
r,l,t
-144.710767,126,0.12614
-119.873151,78,0.152346
-185.423265,64,0.173978
-378.535101,103,0.206525
-94.028052,74,0.229495
-134.417143,82,0.258086
-69.778725,69,0.294689
-80.346029,66,0.322011
-98.433404,99,0.352994
-128.721352,86,0.379899
-106.93505,63,0.399766
-210.400887,123,0.438207
-24.561323,118,0.475741
-159.970325,96,0.508098
-184.932939,86,0.534442
-252.284203,95,0.563467
-117.603145,73,0.585872
-195.296713,79,0.610368
-330.764731,114,0.644794
-186.305367,62,0.664069
-261.025312,86,0.690629
-208.709875,84,0.716306
-112.77929,69,0.73743
-99.782607,60,2.104273
-123.008075,66,2.137271
-75.840118,104,2.171085
-87.44575,93,2.213565
-154.936022,105,2.272842
-196.883511,74,2.299416
22.086846,63,2.320546
-493.04397,96,2.354661
-261.490294,126,2.415928
-382.526172,126,2.462811
-231.307123,130,2.509488
-144.379891,104,2.542627
-104.482989,115,2.582458
-97.627747,78,2.610858
-232.847014,94,2.644071
-82.530081,133,2.690045
-69.897354,128,2.738235
-83.374617,74,2.763232
-92.316979,70,2.785318
-202.545162,84,2.814173
-209.761813,136,2.877274
-174.647475,124,3.620628
-121.317576,95,3.651024
-83.806524,108,3.691154
-31.961286,74,3.719518
-107.035798,73,3.744766
-75.954923,69,3.769554
-80.955116,140,3.838072
-363.167568,118,3.873882
-274.338901,125,3.911587
-183.978951,79,3.936516
-434.657719,97,3.966159
-127.158775,77,3.991915
-95.139567,67,4.014064
-295.898886,107,4.052809
-120.37914,94,4.092659
-300.221699,84,4.122769
-67.851228,66,4.144028
-148.453956,115,4.182912
-162.838292,100,4.218621
-112.245707,74,4.248491
-478.457561,100,4.286326
-77.998616,99,4.32338
-245.924555,116,5.060482
-157.033051,93,5.093822
-172.34836,121,5.138232
-39.934704,77,5.169277
-287.101196,148,5.22526
-83.775182,150,5.277219
-186.377209,81,5.305638
-105.130808,100,5.345251
-158.350342,84,5.371761
-88.759762,109,5.411072
-260.258386,107,5.448266
-113.66872,106,5.48118
-84.93784,66,5.502167
-192.129435,127,5.541843
-197.398745,92,5.572447
-141.950916,120,5.608669
-119.409736,113,5.651732
-46.680885,68,5.673089
-234.172573,95,5.70239
-72.515507,196,7.140697
-155.971371,118,7.180747
-80.485059,108,7.221189
-73.93994,66,7.242668
-180.020289,122,7.287964
-113.801157,134,7.337723
-129.39989,139,7.413773
-104.771525,124,7.45509
-61.421347,89,7.482368
-132.685751,76,7.505881
-73.542058,159,7.554019
-89.71838,103,7.585408
-108.008997,99,7.615196
-86.633531,72,7.637441
-245.287016,121,7.674369
-106.739836,100,7.706703
-70.567575,79,7.731302
-83.75643,98,7.761268
-83.728299,135,8.308532
-99.050325,68,8.330431
-90.920057,100,8.372569
-42.83513,164,8.428216
-103.535763,101,8.463847
-97.999563,79,8.490532
-78.390118,111,8.529437
